Collection date,GISAID_ID,Originating lab,site
2/6/22,EPI_ISL_16673332,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/6/22,EPI_ISL_14771324,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/6/22,EPI_ISL_14771325,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/6/22,EPI_ISL_14771326,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/6/22,EPI_ISL_14771327,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_16673333,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771329,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771330,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_16673334,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771332,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771333,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771334,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771335,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771336,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771337,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771338,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_16673335,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771340,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771341,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771342,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771343,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771344,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771345,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771346,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_16673336,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771436,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771437,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771438,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771439,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771440,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771441,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771442,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771443,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771444,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771445,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771446,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771447,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771448,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771449,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771450,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_16673337,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771452,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771453,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771454,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771455,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771456,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/7/22,EPI_ISL_14771457,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771458,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771459,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771460,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771461,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771462,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_16673338,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771464,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771465,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771466,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771467,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_16673339,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771469,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771470,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_16673340,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771472,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771473,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771474,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771475,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771476,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771477,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771478,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771479,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771480,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771481,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771482,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771483,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771484,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771485,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771486,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_16673341,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771488,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/8/22,EPI_ISL_14771489,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/27/22,EPI_ISL_14771577,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/27/22,EPI_ISL_14771578,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/27/22,EPI_ISL_14771579,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/27/22,EPI_ISL_14771580,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/28/22,EPI_ISL_14771581,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/28/22,EPI_ISL_16672755,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/31/22,EPI_ISL_14771583,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
1/31/22,EPI_ISL_14771584,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/2/22,EPI_ISL_14771585,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/2/22,EPI_ISL_16672756,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
2/3/22,EPI_ISL_14771587,University of Texas Southwestern Medical Center Clinical Laboratories,TXVNP-UTSW
